resolved_path,image,label,label_norm,label_id
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A04M6-JTPC-4615.jpg,A04M6-JTPC-4615,Happy,happy,0
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A05F7-JTP-4924.jpg,A05F7-JTP-4924,Neutral,neutral,3
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A15M12-JTP-7038.jpg,A15M12-JTP-7038,Neutral,neutral,3
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A18M7-JTPWC-7887AF-.jpg,A18M7-JTPWC-7887,Fear,fear,6
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A14M7-JTPWC-6928.jpg,A14M7-JTPWC-6928,Neutral,neutral,3
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A15M12-JTP-7045.jpg,A15M12-JTP-7045,Happy,happy,0
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A09F9-JTPWC-6019.jpg,A09F9-JTPWC-6019,Sad,sad,1
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A18M7-JTPWC-7910.jpg,A18M7-JTPWC-7910,Surprise,surprise,5
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A03F7-JTPC-4363.jpg,A03F7-JTPC-4363,Happy,happy,0
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A04M6-JTPC-4583.jpg,A04M6-JTPC-4583,Neutral,neutral,3
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A03F7-JTPC-4504.jpg,A03F7-JTPC-4504,Sad,sad,1
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A19F6-JTPC-8617.jpg,A19F6-JTPC-8617,Anger,anger,2
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A14M7-JTPWC-6847HA-.jpg,A14M7-JTPWC-6847,Surprise,surprise,5
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A18M7-JTPWC-7767.jpg,A18M7-JTPWC-7767,Surprise,surprise,5
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A18M7-JTPWC-7841.jpg,A18M7-JTPWC-7841,Neutral,neutral,3
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A03F7-JTPC-4406HA-.jpg,A03F7-JTPC-4406,Happy,happy,0
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A19F6-JTPC-8483.jpg,A19F6-JTPC-8483,Neutral,neutral,3
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A08M12-JTPC-5437AN-.jpg,A08M12-JTPC-5437,Anger,anger,2
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A05F7-JTP-4929.jpg,A05F7-JTP-4929,Happy,happy,0
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A19F6-JTPC-8508.jpg,A19F6-JTPC-8508,Neutral,neutral,3
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A10F5-NONE-6196.jpg,A10F5-none-6196,Surprise,surprise,5
C:\Users\ADMIN\Downloads\emotion classification\Data\images_renamed\A07M4-NONE-5205.jpg,A07M4-none-5205,Happy,happy,0
